就那样	0
不错	1
简单方便	1
太慢了	-1
货真价实	1
值得信赖	1
凉爽	1
黏黏的	-1
没清爽	-1
憋屈	-1
随便	-1
伤心	-1
凑合着用	0
用不了	-1
很好	1
快	1
差评	-1
慢	-1
很快	1
不相符	-1
欺骗	-1
轻薄	0
挺厚	1
好大	-1
无良	-1
厉害	1
还行	1
有点脏	-1
不符	-1
满意	1
棒	1
省电	1
好	1
静音	1
不好用	-1
听不见	-1
不香	-1
无语	-1
差	-1
耐心	1
高档	1
舒服	1
有档次	1
纳闷	-1
卡顿	-1
不响	1
不好	-1
郁闷	-1
太快	-1
慎重	-1
不正品	-1
太大	-1
太贵	-1
不行	-1
挺好	1
简单	1
不够大	-1
还可以	1
发热	-1
一般般	0
便宜	1
一般	0
不是好	-1
不干	1
蛮大	1
实惠	1
大容量	1
高大上	1
环保	1
假货	-1
太差	-1
简陋	-1
没有破损	1
不耐烦	-1
黑屏	-1
正常	1
偏黄	-1
漂亮	1
不咋地	-1
大爱	1
值得购买	1
值得推荐	1
太丑	-1
卡	-1
烂	-1
有点大	-1
完好无损	1
碎裂	-1
过敏	-1
破	-1
正品	1
太小	-1
不能用	-1
不是紧绷	1
好洗	1
不对	-1
有点干	-1
物美价廉	1
不配套	1
不怎么样	-1
超值	1
偏大	-1
极少	1
裂痕	-1
棒棒哒	1
好看	1
后悔	-1
搞不定	-1
挺好用	1
不刺激	1
滋润	1
坏	-1
漏	-1
对不上	-1
较大	-1
很差	-1
不理	-1
失望	-1
花屏	-1
很慢	-1
可靠	1
好评	1
没有诚信	-1
小巧	1
凑合用	0
发烫	-1
不负责任	-1
太慢	-1
不敢恭维	-1
还好	1
没敢用	-1
不愉快	-1
很高	1
值得	1
差劲	-1
疏忽	-1
更差	-1
太少	-1
没有好	-1
越来越差	-1
喜欢	1
敢用	1
划算	1
好用	1
不清楚	-1
不大满意	-1
凑合	0
偏淡	-1
不精细	-1
不影响	0
贵	-1
不想说	-1
复杂	-1
恶心	-1
愉快	1
坑	-1
没诚信	-1
不值	-1
有点响	-1
赞	1
差距太大	-1
很大	1
就这样	0
将就用	-1
不是正品	-1
不满意	-1
不是很高	-1
保证	1
超差	-1
适用	1
气愤	-1
不便宜	-1
不合适	-1
有点薄	-1
给力	1
没有问题	1
没人理	-1
变形	-1
被骗了	-1
坑人	-1
烦心	-1
挺小	1
超快	1
贴心	1
不是很好	-1
有差距	-1
不怎么好	-1
糟糕	-1
不开心	-1
疼	-1
过分	-1
心塞	-1
挺大	1
方便实用	1
小巧玲珑	1
烫手	-1
贼慢	-1
忽悠	-1
残次品	-1
太棒	1
不爽	-1
不太好	-1
不方便	-1
不亮	-1
模糊	-1
假话	-1
不喜欢	-1
无奈	-1
有保障	1
很长	-1
长	-1
负责	1
安逸	1
无良心	-1
严重	-1
破碎	-1
偏深	-1
凹进去	-1
推荐	1
